epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.60761,2.10967,1.77162,0.94732,0.01439,0.2667,0.01121,0.00505,2.2137,inf,1.02415,0.000551912,0.000551912,0.000551912
2,18.9836,2.13044,1.28187,0.951,0.51727,0.14527,0.00969,0.00327,nan,nan,nan,0.00110746,0.00110746,0.00110746
3,27.8858,2.11645,1.2689,0.95117,0.83892,0.30308,0.32454,0.13925,2.09161,1.68382,0.94853,0.00166252,0.00166252,0.00166252
4,37.1023,2.07562,1.26483,0.94972,0.38184,0.30009,0.34516,0.15804,1.97765,1.25545,0.92831,0.00166537,0.00166537,0.00166537
5,46.1921,2.05351,1.22975,0.94326,0.35443,0.25379,0.2378,0.09456,2.11803,2.3417,0.94798,0.00166411,0.00166411,0.00166411
6,55.0507,1.99189,1.16785,0.93915,0.41548,0.32386,0.27422,0.10743,2.40134,1.70873,0.98762,0.00166248,0.00166248,0.00166248
7,63.8861,2.00529,1.17965,0.93331,0.58004,0.4109,0.43185,0.19842,1.96646,1.22892,0.92495,0.00166049,0.00166049,0.00166049
8,72.9908,1.97548,1.14234,0.92816,0.3722,0.33413,0.38022,0.17644,1.88816,1.10319,0.91467,0.00165815,0.00165815,0.00165815
9,81.8957,1.94906,1.14143,0.92623,0.85829,0.34632,0.41517,0.17788,1.87508,1.52908,0.90599,0.00165544,0.00165544,0.00165544
10,90.7757,1.92559,1.09288,0.91856,0.83397,0.49688,0.53453,0.19579,1.89342,1.09807,0.91125,0.00165238,0.00165238,0.00165238
11,99.8554,1.96066,1.08999,0.91984,0.50245,0.38521,0.44906,0.18824,1.90341,1.17018,0.91022,0.00164897,0.00164897,0.00164897
12,108.644,1.90017,1.06427,0.91293,0.40091,0.36601,0.41663,0.19808,1.84826,1.03245,0.9094,0.0016452,0.0016452,0.0016452
13,117.647,1.89308,1.032,0.91053,0.52168,0.40576,0.45566,0.1824,1.91586,1.12369,0.91443,0.00164108,0.00164108,0.00164108
14,126.507,1.87525,1.06438,0.91151,0.39248,0.36558,0.40834,0.19447,1.82235,1.0193,0.90665,0.0016366,0.0016366,0.0016366
15,135.456,1.86691,1.04868,0.91401,0.36766,0.31892,0.37126,0.17557,1.89894,1.16066,0.91014,0.00163178,0.00163178,0.00163178
16,144.29,1.89683,1.04648,0.92052,0.48226,0.46231,0.42099,0.18766,1.83536,1.05742,0.90296,0.00162661,0.00162661,0.00162661
17,153.176,1.85619,1.0206,0.90767,0.6363,0.52409,0.51334,0.23751,1.78811,1.01445,0.8956,0.0016211,0.0016211,0.0016211
18,162.27,1.83547,1.00217,0.90371,0.40418,0.37742,0.41672,0.19815,1.83402,0.98803,0.90191,0.00161525,0.00161525,0.00161525
19,171.211,1.84586,1.00589,0.90793,0.38884,0.35189,0.39306,0.18873,1.84081,1.07374,0.89921,0.00160905,0.00160905,0.00160905
20,180.033,1.81445,0.99467,0.90172,0.85915,0.55168,0.60372,0.24125,1.80399,1.03727,0.90733,0.00160252,0.00160252,0.00160252
21,189.156,1.77681,0.95247,0.89915,0.37808,0.36687,0.41935,0.19913,1.78302,1.07682,0.89208,0.00159566,0.00159566,0.00159566
22,197.98,1.81042,1.01037,0.90082,0.36995,0.58207,0.46658,0.21249,1.76801,1.01559,0.89802,0.00158847,0.00158847,0.00158847
23,206.874,1.8271,1.0013,0.90187,0.64483,0.50758,0.54554,0.21582,1.80052,0.98217,0.89943,0.00158094,0.00158094,0.00158094
24,215.709,1.8231,0.95987,0.9013,0.77949,0.50788,0.56435,0.22068,1.7927,0.98092,0.89821,0.0015731,0.0015731,0.0015731
25,224.62,1.80346,0.96946,0.9021,0.69293,0.62546,0.61721,0.24316,1.78151,0.98741,0.89266,0.00156493,0.00156493,0.00156493
26,233.729,1.80678,0.96095,0.90241,0.60833,0.54998,0.54547,0.21387,1.79579,1.00879,0.89667,0.00155645,0.00155645,0.00155645
27,242.697,1.77884,0.94472,0.89423,0.6047,0.44786,0.49345,0.22389,1.7546,0.95475,0.89242,0.00154765,0.00154765,0.00154765
28,251.444,1.77592,0.94551,0.89184,0.40482,0.3857,0.44711,0.20999,1.77257,0.99477,0.89177,0.00153854,0.00153854,0.00153854
29,260.385,1.78727,0.94562,0.89629,0.40825,0.36191,0.42498,0.20895,1.77471,0.96583,0.89213,0.00152913,0.00152913,0.00152913
30,269.251,1.74084,0.91014,0.88686,0.43614,0.47213,0.45089,0.20544,1.7814,0.9621,0.89515,0.00151942,0.00151942,0.00151942
31,278.081,1.78017,0.94791,0.90066,0.85927,0.60598,0.63015,0.26807,1.71539,0.9628,0.88776,0.00150941,0.00150941,0.00150941
32,287.187,1.76714,0.89618,0.88708,0.57013,0.45114,0.50779,0.22352,1.73069,0.93425,0.89121,0.0014991,0.0014991,0.0014991
33,296.1,1.7611,0.90415,0.89631,0.56745,0.43872,0.43379,0.21098,1.78696,0.9832,0.90054,0.00148851,0.00148851,0.00148851
34,305.015,1.74051,0.93212,0.8931,0.41312,0.40303,0.44252,0.22194,1.76196,0.93049,0.89966,0.00147764,0.00147764,0.00147764
35,313.931,1.75741,0.9173,0.89487,0.77506,0.49728,0.56297,0.25805,1.75772,0.93337,0.88911,0.00146648,0.00146648,0.00146648
