epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2712,2.01883,1.61602,1.0089,0.37471,0.37622,0.35941,0.1682,1.94392,1.44907,1.00593,0.000553783,0.000553783,0.000553783
2,38.0712,2.01858,1.37554,1.00363,0.34411,0.3506,0.3568,0.15218,2.03357,1.4051,1.02474,0.00110933,0.00110933,0.00110933
3,56.1754,2.02971,1.29983,1.00997,0.88424,0.29709,0.35068,0.15764,2.01553,1.28153,1.00457,0.00166439,0.00166439,0.00166439
4,74.0664,1.99062,1.24814,0.99435,0.76134,0.28253,0.25564,0.11308,2.07739,2.07204,1.02615,0.00166537,0.00166537,0.00166537
5,91.9992,1.93527,1.25042,0.9798,0.64533,0.41226,0.45276,0.20597,1.82898,1.28294,0.97381,0.00166411,0.00166411,0.00166411
6,110.318,1.96175,1.2381,0.974,0.87095,0.33841,0.37652,0.17563,1.85674,1.25183,0.96919,0.00166248,0.00166248,0.00166248
7,128.249,1.89805,1.20441,0.9692,0.412,0.32962,0.38267,0.18306,1.84941,1.18879,0.97503,0.00166049,0.00166049,0.00166049
8,146.158,1.88464,1.16384,0.97214,0.52774,0.42074,0.47948,0.23732,1.87007,1.28248,0.98269,0.00165815,0.00165815,0.00165815
9,164.442,1.84097,1.13493,0.95768,0.89662,0.36687,0.4089,0.19738,1.83461,1.06204,0.96543,0.00165544,0.00165544,0.00165544
10,182.383,1.85405,1.11962,0.96164,0.40078,0.36772,0.40569,0.19686,1.85608,1.11619,0.96901,0.00165238,0.00165238,0.00165238
