epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.15851,2.09458,2.50139,0.99505,0.015,0.28296,0.23475,0.08669,1.88897,2.96048,0.97205,0.000548158,0.000548158,0.000548158
2,9.66783,1.93885,1.52579,0.96473,0.35944,0.3811,0.30341,0.11196,2.07704,1.7749,0.99986,0.00110379,0.00110379,0.00110379
3,14.0002,1.97285,1.40959,0.97416,0.39519,0.36167,0.33019,0.12928,2.01861,1.44493,0.98896,0.00165931,0.00165931,0.00165931
4,18.2856,1.89985,1.27388,0.95986,0.41121,0.41004,0.41261,0.16891,1.97628,1.34931,0.99226,0.00166659,0.00166659,0.00166659
5,22.6172,1.91596,1.23987,0.95693,0.54617,0.42781,0.46934,0.19372,1.87809,1.5124,0.96981,0.00166628,0.00166628,0.00166628
6,26.9309,1.85141,1.15227,0.94673,0.82237,0.49253,0.50596,0.18663,1.99567,1.30328,0.9956,0.00166587,0.00166587,0.00166587
7,31.275,1.85624,1.11502,0.9484,0.49646,0.43229,0.40819,0.17026,1.975,1.57742,0.99855,0.00166537,0.00166537,0.00166537
8,35.5614,1.83486,1.1151,0.95135,0.48859,0.45328,0.43482,0.20069,1.93249,1.24051,0.96891,0.00166478,0.00166478,0.00166478
9,39.882,1.80382,1.0619,0.93877,0.57883,0.51529,0.53555,0.22013,1.73081,1.08219,0.94374,0.00166411,0.00166411,0.00166411
10,44.1707,1.82096,1.04915,0.93754,0.42769,0.41561,0.42563,0.18852,1.81637,1.21443,0.94982,0.00166334,0.00166334,0.00166334
11,48.4484,1.83418,1.052,0.94608,0.87731,0.35317,0.38575,0.17725,1.84944,1.12527,0.95986,0.00166248,0.00166248,0.00166248
12,52.6646,1.79541,1.00915,0.93931,0.75815,0.51694,0.51989,0.23224,1.74545,1.06292,0.95036,0.00166153,0.00166153,0.00166153
13,56.9674,1.78496,1.01153,0.93276,0.59578,0.44511,0.50269,0.21973,1.7112,1.00019,0.94617,0.00166049,0.00166049,0.00166049
14,61.2799,1.77497,1.01086,0.93751,0.504,0.46654,0.4733,0.19901,1.82713,1.10511,0.95322,0.00165937,0.00165937,0.00165937
15,65.4831,1.77366,0.99385,0.93026,0.72387,0.50416,0.58956,0.24209,1.72053,0.983,0.94442,0.00165815,0.00165815,0.00165815
16,69.8159,1.75955,0.98969,0.93993,0.81899,0.52942,0.5955,0.26435,1.67427,0.96286,0.93971,0.00165684,0.00165684,0.00165684
17,74.1532,1.74387,0.97358,0.93479,0.67607,0.45028,0.52616,0.23217,1.76145,0.96941,0.95331,0.00165544,0.00165544,0.00165544
18,78.4148,1.7673,0.98337,0.93263,0.43113,0.49306,0.46694,0.21499,1.76168,1.24296,0.95192,0.00165396,0.00165396,0.00165396
19,82.6414,1.73556,0.95481,0.93507,0.72583,0.58566,0.62089,0.24946,1.74167,0.97636,0.94279,0.00165238,0.00165238,0.00165238
20,86.9522,1.71806,0.9351,0.92814,0.90343,0.6234,0.64397,0.25661,1.70284,0.9494,0.94215,0.00165072,0.00165072,0.00165072
21,91.1806,1.72046,0.93047,0.92783,0.80653,0.58063,0.60513,0.27282,1.70078,0.93581,0.93886,0.00164897,0.00164897,0.00164897
22,95.4437,1.71062,0.93571,0.92223,0.5602,0.49859,0.52505,0.24266,1.73246,1.00039,0.94201,0.00164713,0.00164713,0.00164713
23,99.6655,1.72064,0.95628,0.9249,0.7352,0.53507,0.58027,0.25927,1.74259,0.97112,0.94687,0.0016452,0.0016452,0.0016452
24,103.929,1.7207,0.93839,0.93294,0.90449,0.60061,0.6336,0.28285,1.71471,1.02368,0.9406,0.00164318,0.00164318,0.00164318
25,108.215,1.68432,0.91903,0.92472,0.58763,0.60694,0.59105,0.23342,1.71534,0.98233,0.94125,0.00164108,0.00164108,0.00164108
26,112.486,1.73975,0.93411,0.92908,0.86079,0.53905,0.62318,0.28514,1.68311,0.89162,0.94203,0.00163888,0.00163888,0.00163888
27,116.719,1.73225,0.94475,0.92822,0.65489,0.65219,0.62713,0.27387,1.66378,0.92077,0.93064,0.0016366,0.0016366,0.0016366
28,120.969,1.69449,0.91222,0.92035,0.71066,0.53626,0.60681,0.26922,1.66154,0.89637,0.93731,0.00163424,0.00163424,0.00163424
29,125.143,1.70167,0.90089,0.92139,0.76948,0.53168,0.60791,0.25926,1.67133,0.90102,0.93764,0.00163178,0.00163178,0.00163178
30,129.465,1.68809,0.90458,0.91771,0.64791,0.58293,0.58589,0.25728,1.65246,0.93584,0.93306,0.00162924,0.00162924,0.00162924
31,133.672,1.68425,0.89721,0.92462,0.626,0.53412,0.54714,0.28686,1.64608,0.90134,0.93116,0.00162661,0.00162661,0.00162661
32,137.938,1.68278,0.89561,0.91801,0.73371,0.54251,0.54871,0.25743,1.71265,0.94062,0.93997,0.0016239,0.0016239,0.0016239
33,142.146,1.66748,0.89377,0.91452,0.60613,0.44172,0.47205,0.22606,1.79351,0.97908,0.95046,0.0016211,0.0016211,0.0016211
