epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47326,2.25311,3.56241,1.06423,0.00844,0.18193,0.05597,0.02691,2.11643,3.32754,1.04873,0.000548158,0.000548158,0.000548158
2,6.49085,2.21473,2.41154,1.04667,0.76285,0.19307,0.19125,0.08423,2.07141,2.07474,1.03025,0.00110379,0.00110379,0.00110379
3,9.28719,2.17326,2.12265,1.04075,0.76875,0.21704,0.22554,0.1002,2.049,1.86571,1.01961,0.00165931,0.00165931,0.00165931
4,12.0471,2.15955,1.90981,1.03151,0.8043,0.21661,0.24669,0.10804,2.06206,1.58826,1.04249,0.00166659,0.00166659,0.00166659
5,14.798,2.14881,1.80475,1.02541,0.80097,0.2434,0.26011,0.11168,2.08352,1.60861,1.01902,0.00166628,0.00166628,0.00166628
6,17.5681,2.13279,1.7118,1.02215,0.79255,0.25086,0.30781,0.1254,2.04355,1.62704,1.01552,0.00166587,0.00166587,0.00166587
7,20.3738,2.11987,1.63919,1.0164,0.80208,0.25,0.29326,0.12559,2.02214,1.49022,1.01748,0.00166537,0.00166537,0.00166537
8,23.0962,2.10087,1.62081,1.02164,0.79849,0.26327,0.30415,0.13068,1.98491,1.47495,1.00991,0.00166478,0.00166478,0.00166478
9,25.8204,2.0945,1.55829,1.01466,0.81385,0.25262,0.28224,0.12727,1.98758,1.43737,1.01997,0.00166411,0.00166411,0.00166411
10,28.5933,2.09308,1.55391,1.00568,0.31098,0.46863,0.326,0.13639,2.02156,1.44093,1.01877,0.00166334,0.00166334,0.00166334
11,31.3416,2.10838,1.53372,1.01375,0.79764,0.27483,0.2949,0.13331,1.95501,1.42526,1.00687,0.00166248,0.00166248,0.00166248
12,34.0907,2.10318,1.50107,1.01356,0.44408,0.40533,0.33588,0.13643,2.03224,1.39347,1.02493,0.00166153,0.00166153,0.00166153
13,36.8488,2.08458,1.47834,1.00469,0.41686,0.41218,0.33038,0.13401,2.0048,1.51008,1.01733,0.00166049,0.00166049,0.00166049
14,39.5937,2.07411,1.48236,1.0123,0.73769,0.33708,0.38609,0.15997,1.981,1.34152,1.00907,0.00165937,0.00165937,0.00165937
15,42.3696,2.07064,1.46832,1.00327,0.35767,0.39591,0.37611,0.15057,1.95912,1.42754,0.99447,0.00165815,0.00165815,0.00165815
16,45.0788,2.07079,1.451,1.01469,0.31517,0.26789,0.30038,0.13445,1.96962,1.39086,1.00533,0.00165684,0.00165684,0.00165684
17,47.756,2.05711,1.44486,1.00967,0.83647,0.28361,0.32388,0.1424,1.9473,1.36177,0.99743,0.00165544,0.00165544,0.00165544
18,50.5306,2.05763,1.42687,1.00581,0.68656,0.48128,0.45834,0.20333,2.03445,1.35302,1.02323,0.00165396,0.00165396,0.00165396
19,53.2435,2.04265,1.41227,1.00907,0.47212,0.46013,0.40738,0.1627,1.94044,1.41763,0.99589,0.00165238,0.00165238,0.00165238
20,56.0274,2.03136,1.40648,1.00199,0.81943,0.27034,0.39279,0.16594,1.94072,1.80147,1.001,0.00165072,0.00165072,0.00165072
21,58.7638,2.03772,1.40246,0.99963,0.54304,0.46987,0.42464,0.19027,1.97627,1.37092,1.01068,0.00164897,0.00164897,0.00164897
22,61.5975,2.02457,1.40009,0.99073,0.55989,0.41327,0.43831,0.17404,1.95617,1.34452,0.99697,0.00164713,0.00164713,0.00164713
23,64.3502,2.06076,1.4342,0.99999,0.59772,0.48019,0.4507,0.18505,1.94074,1.44776,0.99386,0.0016452,0.0016452,0.0016452
24,67.0814,2.0361,1.41124,1.00707,0.38906,0.49945,0.36533,0.15122,1.95014,1.40418,0.99951,0.00164318,0.00164318,0.00164318
25,69.8756,2.00433,1.38841,0.99783,0.44605,0.4795,0.42149,0.17366,1.95634,1.29705,0.99507,0.00164108,0.00164108,0.00164108
26,72.6341,2.0505,1.41481,0.99372,0.8032,0.34582,0.46447,0.20656,2.00698,1.36496,1.00127,0.00163888,0.00163888,0.00163888
27,75.3961,2.03647,1.41096,0.99989,0.85412,0.41193,0.46498,0.18619,1.92074,1.33899,0.99071,0.0016366,0.0016366,0.0016366
28,78.1973,2.02119,1.38481,0.99094,0.78637,0.4083,0.4786,0.17963,1.90891,1.30044,0.99324,0.00163424,0.00163424,0.00163424
29,80.8987,2.03292,1.37293,0.99834,0.84869,0.38807,0.47347,0.21063,1.93465,1.3253,0.98479,0.00163178,0.00163178,0.00163178
30,83.7069,2.03001,1.39195,0.99309,0.50241,0.47281,0.44369,0.1814,1.92667,1.29101,0.99266,0.00162924,0.00162924,0.00162924
31,86.4322,1.99148,1.36843,0.99752,0.64252,0.39885,0.46116,0.20846,1.90872,1.39996,0.99169,0.00162661,0.00162661,0.00162661
32,89.1774,2.02678,1.37444,0.99264,0.74326,0.36164,0.47907,0.18476,1.92291,1.30223,0.994,0.0016239,0.0016239,0.0016239
33,91.9395,2.02419,1.3718,0.99284,0.83653,0.42699,0.46811,0.21883,1.94172,1.31489,0.99079,0.0016211,0.0016211,0.0016211
34,94.6556,2.00422,1.34185,0.99491,0.49361,0.47676,0.44799,0.20029,1.92997,1.26936,0.99519,0.00161822,0.00161822,0.00161822
35,97.4011,1.98576,1.33941,0.9804,0.78798,0.35439,0.46501,0.18853,1.92202,1.27669,0.99706,0.00161525,0.00161525,0.00161525
36,100.152,2.01966,1.37418,0.99986,0.84771,0.29128,0.3612,0.1605,1.9298,1.30991,0.99229,0.00161219,0.00161219,0.00161219
37,102.897,2.03066,1.34904,0.98536,0.83073,0.4475,0.4879,0.20475,1.93506,1.38143,0.98964,0.00160905,0.00160905,0.00160905
38,105.746,2.01527,1.35289,0.9912,0.56751,0.46427,0.47637,0.22038,1.91261,1.28972,0.98914,0.00160583,0.00160583,0.00160583
