epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.39204,2.15145,2.59737,1.00375,0.01058,0.24914,0.14139,0.0472,2.19664,3.06006,1.05668,0.000548158,0.000548158,0.000548158
2,8.1615,2.0311,1.59523,0.98336,0.86022,0.33562,0.35907,0.15232,1.93122,1.40052,0.98417,0.00110379,0.00110379,0.00110379
3,11.8094,1.9922,1.4745,0.97561,0.312,0.41769,0.30952,0.13059,2.01899,1.42687,0.99138,0.00165931,0.00165931,0.00165931
4,15.2984,1.96417,1.31491,0.96889,0.57842,0.514,0.49084,0.21889,1.83519,1.26896,0.96068,0.00166659,0.00166659,0.00166659
5,18.793,1.96307,1.26456,0.96291,0.53607,0.58415,0.53237,0.20726,1.83627,1.19045,0.95714,0.00166628,0.00166628,0.00166628
6,22.2765,1.92643,1.20637,0.96079,0.53164,0.48562,0.50441,0.20837,1.83917,1.11501,0.95905,0.00166587,0.00166587,0.00166587
7,25.7752,1.92743,1.1659,0.957,0.80799,0.51829,0.5861,0.22496,1.82432,1.16128,0.96149,0.00166537,0.00166537,0.00166537
8,29.2759,1.88692,1.14117,0.95781,0.60536,0.51101,0.51633,0.22841,1.82814,1.04938,0.96927,0.00166478,0.00166478,0.00166478
9,32.7168,1.86495,1.08187,0.94816,0.47501,0.52984,0.46536,0.22793,1.77293,1.11472,0.94385,0.00166411,0.00166411,0.00166411
10,36.2434,1.88062,1.08553,0.94628,0.70655,0.48618,0.55145,0.22534,1.8512,1.07505,0.96414,0.00166334,0.00166334,0.00166334
11,39.6946,1.89159,1.07896,0.9529,0.79695,0.50587,0.58291,0.24742,1.78474,1.00169,0.95019,0.00166248,0.00166248,0.00166248
12,43.1934,1.84938,1.04225,0.94778,0.67227,0.58115,0.52269,0.24143,1.7681,1.04432,0.94737,0.00166153,0.00166153,0.00166153
13,46.9476,1.83908,1.02923,0.94016,0.65855,0.62653,0.60955,0.29242,1.74322,0.96695,0.94486,0.00166049,0.00166049,0.00166049
14,50.4365,1.82995,1.036,0.94455,0.78647,0.49984,0.58494,0.23055,1.84468,1.05408,0.95751,0.00165937,0.00165937,0.00165937
15,53.949,1.83706,1.04148,0.93901,0.65387,0.5141,0.52434,0.24981,1.77277,1.06993,0.94813,0.00165815,0.00165815,0.00165815
16,57.3855,1.8355,1.0152,0.95032,0.58979,0.50937,0.50819,0.20678,1.87262,1.06974,0.96101,0.00165684,0.00165684,0.00165684
17,60.8326,1.81571,0.99867,0.94628,0.5409,0.61925,0.55313,0.23562,1.75916,1.00538,0.94204,0.00165544,0.00165544,0.00165544
18,64.344,1.81651,0.99009,0.93897,0.73807,0.44643,0.51596,0.22629,1.79455,0.99924,0.95736,0.00165396,0.00165396,0.00165396
19,67.7863,1.79368,0.97931,0.94282,0.79114,0.47277,0.58537,0.24804,1.74656,1.00886,0.94314,0.00165238,0.00165238,0.00165238
20,71.2453,1.78617,0.97145,0.93735,0.52259,0.56794,0.53072,0.26083,1.7134,0.95061,0.9334,0.00165072,0.00165072,0.00165072
21,74.7121,1.77578,0.96221,0.93511,0.62903,0.58886,0.56117,0.26348,1.72245,0.95401,0.93689,0.00164897,0.00164897,0.00164897
22,78.212,1.77949,0.96763,0.93156,0.64486,0.5307,0.60181,0.25851,1.71442,0.94935,0.93867,0.00164713,0.00164713,0.00164713
23,81.9405,1.79053,0.97425,0.93233,0.76069,0.61283,0.61161,0.263,1.7398,0.98663,0.94457,0.0016452,0.0016452,0.0016452
24,85.4042,1.76996,0.95103,0.9411,0.66102,0.61625,0.61525,0.26721,1.68679,0.96148,0.93377,0.00164318,0.00164318,0.00164318
25,88.8751,1.75459,0.94935,0.93422,0.8617,0.58415,0.63753,0.27103,1.79441,0.96729,0.95098,0.00164108,0.00164108,0.00164108
26,92.4831,1.79347,0.95328,0.93248,0.816,0.50873,0.59648,0.25243,1.72731,0.94368,0.94082,0.00163888,0.00163888,0.00163888
