epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.96744,2.09458,2.50139,0.99505,0.015,0.28296,0.23475,0.08669,1.88897,2.96048,0.97205,0.000548158,0.000548158,0.000548158
2,9.5042,1.97447,1.55074,0.97047,0.8289,0.31892,0.34223,0.14243,1.97628,1.55644,0.98311,0.00110018,0.00110018,0.00110018
3,14.3252,1.95238,1.40307,0.96828,0.43256,0.33213,0.35171,0.14145,2.00787,1.53152,0.98031,0.00164854,0.00164854,0.00164854
4,18.7192,1.92604,1.28222,0.96426,0.62276,0.39035,0.43573,0.21345,1.86865,1.22199,0.96129,0.0016505,0.0016505,0.0016505
5,22.9727,1.9077,1.22467,0.95549,0.34447,0.35959,0.36276,0.15766,1.89342,1.20959,0.96727,0.001645,0.001645,0.001645
6,27.3164,1.87809,1.1634,0.95278,0.52903,0.42009,0.47697,0.19998,1.80675,1.10213,0.95946,0.00163949,0.00163949,0.00163949
7,31.5432,1.84731,1.12117,0.94642,0.55005,0.48404,0.45278,0.20495,1.82009,1.25888,0.9617,0.00163399,0.00163399,0.00163399
8,35.7715,1.84599,1.11126,0.95352,0.81543,0.53943,0.53394,0.21332,1.81438,1.07014,0.95604,0.00162849,0.00162849,0.00162849
9,40.0605,1.78402,1.03274,0.93789,0.57651,0.51186,0.51825,0.22565,1.7777,1.07168,0.95481,0.00162299,0.00162299,0.00162299
10,44.4292,1.82051,1.05315,0.93922,0.4353,0.47254,0.41423,0.19295,1.81489,1.20003,0.95927,0.00161749,0.00161749,0.00161749
11,48.7583,1.86916,1.07763,0.95247,0.60958,0.42029,0.45346,0.20039,1.80509,1.12437,0.95001,0.00161199,0.00161199,0.00161199
12,53.167,1.78623,1.00868,0.94021,0.59224,0.46021,0.45462,0.21688,1.70236,1.18254,0.94323,0.00160649,0.00160649,0.00160649
13,57.751,1.76471,1.01205,0.92847,0.82585,0.52128,0.55696,0.22473,1.72578,1.03835,0.9541,0.00160099,0.00160099,0.00160099
14,62.0411,1.76545,0.99733,0.93629,0.84285,0.33604,0.36893,0.17183,1.84188,1.13714,0.96353,0.00159549,0.00159549,0.00159549
15,66.3351,1.76928,1.00364,0.93078,0.49826,0.35627,0.4075,0.19703,1.78196,1.17994,0.95141,0.00158998,0.00158998,0.00158998
16,70.7629,1.76068,0.98641,0.93719,0.8122,0.46818,0.55972,0.23777,1.76018,0.96841,0.95374,0.00158448,0.00158448,0.00158448
17,74.966,1.74806,0.96541,0.93806,0.58609,0.47195,0.54243,0.23315,1.83166,1.02186,0.98219,0.00157898,0.00157898,0.00157898
18,79.2611,1.76911,0.98793,0.93385,0.56096,0.51815,0.52347,0.22766,1.83569,1.05849,0.96444,0.00157348,0.00157348,0.00157348
19,83.7888,1.75371,0.97023,0.93667,0.5624,0.46306,0.45172,0.20474,1.83735,1.09369,0.95359,0.00156798,0.00156798,0.00156798
20,88.122,1.70613,0.93863,0.92276,0.38501,0.51262,0.47255,0.24287,1.65473,0.9358,0.92844,0.00156248,0.00156248,0.00156248
21,92.4015,1.71372,0.93118,0.92703,0.57895,0.51486,0.49268,0.23953,1.69779,1.00058,0.93947,0.00155698,0.00155698,0.00155698
22,96.645,1.70355,0.93377,0.91944,0.59646,0.49945,0.58405,0.25725,1.71157,0.96236,0.9363,0.00155148,0.00155148,0.00155148
23,101.044,1.72389,0.95362,0.92442,0.8578,0.54063,0.63041,0.28235,1.70589,0.9569,0.9394,0.00154598,0.00154598,0.00154598
24,105.449,1.71627,0.93071,0.93149,0.76737,0.51786,0.59534,0.27533,1.69023,0.9358,0.93637,0.00154047,0.00154047,0.00154047
25,109.674,1.68433,0.90873,0.92237,0.58485,0.53756,0.56771,0.21358,1.99309,1.26053,0.98992,0.00153497,0.00153497,0.00153497
26,113.969,1.71207,0.92405,0.92099,0.94786,0.59314,0.64923,0.28875,1.69718,0.89267,0.94422,0.00152947,0.00152947,0.00152947
27,118.361,1.70913,0.91716,0.92135,0.70941,0.62414,0.63803,0.28086,1.68457,0.91639,0.93262,0.00152397,0.00152397,0.00152397
28,122.638,1.68457,0.90146,0.91723,0.71195,0.6133,0.63335,0.29135,1.64185,0.93174,0.93185,0.00151847,0.00151847,0.00151847
29,127.079,1.69261,0.90369,0.91947,0.62909,0.67013,0.63458,0.28333,1.65083,0.92138,0.93295,0.00151297,0.00151297,0.00151297
30,131.403,1.6774,0.89969,0.91464,0.57632,0.58304,0.54171,0.26803,1.67082,0.90772,0.93505,0.00150747,0.00150747,0.00150747
31,135.733,1.67446,0.88999,0.92114,0.70468,0.56992,0.65056,0.29574,1.67351,0.96191,0.93581,0.00150197,0.00150197,0.00150197
32,140.035,1.68985,0.89517,0.91807,0.64593,0.52942,0.54066,0.2613,1.74895,0.97079,0.94485,0.00149647,0.00149647,0.00149647
33,144.31,1.66466,0.88882,0.91375,0.61275,0.46984,0.46865,0.22667,1.834,1.06247,0.95932,0.00149096,0.00149096,0.00149096
34,148.814,1.67116,0.88091,0.92088,0.69901,0.63766,0.62644,0.27783,1.68879,0.9403,0.94089,0.00148546,0.00148546,0.00148546
35,153.133,1.65394,0.85621,0.9092,0.77934,0.62489,0.6339,0.30072,1.64606,0.87062,0.93504,0.00147996,0.00147996,0.00147996
36,157.422,1.65545,0.87945,0.91935,0.79313,0.64723,0.64816,0.27359,1.64963,0.88376,0.92597,0.00147446,0.00147446,0.00147446
37,161.709,1.6666,0.86832,0.91053,0.8806,0.63072,0.69098,0.28746,1.6834,0.93543,0.92991,0.00146896,0.00146896,0.00146896
38,166.145,1.64153,0.86276,0.91192,0.62536,0.47123,0.53461,0.26695,1.65876,0.9183,0.92846,0.00146346,0.00146346,0.00146346
39,170.676,1.64504,0.86261,0.91807,0.61267,0.51914,0.60163,0.2687,1.64653,0.91416,0.93067,0.00145796,0.00145796,0.00145796
40,174.958,1.64936,0.87254,0.91302,0.70199,0.64424,0.63083,0.28233,1.64601,0.88893,0.92888,0.00145246,0.00145246,0.00145246
41,179.204,1.63914,0.85315,0.90766,0.79096,0.63768,0.64414,0.29915,1.62668,0.89093,0.92357,0.00144696,0.00144696,0.00144696
42,183.499,1.65011,0.86222,0.91068,0.90666,0.61069,0.66132,0.30258,1.62031,0.89977,0.92769,0.00144145,0.00144145,0.00144145
43,187.829,1.62694,0.83423,0.91087,0.68457,0.63937,0.6309,0.28591,1.61147,0.86987,0.92357,0.00143595,0.00143595,0.00143595
44,192.115,1.63694,0.84503,0.90839,0.71432,0.62983,0.63841,0.3104,1.63819,0.85224,0.9306,0.00143045,0.00143045,0.00143045
45,196.497,1.65904,0.85464,0.91819,0.79158,0.52214,0.5974,0.25973,1.73426,0.91284,0.9486,0.00142495,0.00142495,0.00142495
46,200.832,1.61807,0.83282,0.90109,0.64254,0.5437,0.55689,0.27682,1.64937,0.88844,0.93324,0.00141945,0.00141945,0.00141945
47,205.085,1.61914,0.83835,0.90313,0.8556,0.62083,0.66181,0.2919,1.63948,0.90856,0.92918,0.00141395,0.00141395,0.00141395
48,209.354,1.63291,0.84261,0.91025,0.83293,0.61162,0.65946,0.30386,1.65133,0.88521,0.93016,0.00140845,0.00140845,0.00140845
49,213.799,1.64858,0.85176,0.91172,0.85631,0.59956,0.6836,0.29834,1.61908,0.87082,0.9254,0.00140295,0.00140295,0.00140295
